SE_ID,SC_GRAD_VLUE,NGST_QY
740,메론맛우유,180
741,짜장밥,218
742,김떡만강정,143
743,사과,50
744,메론맛우유,180
745,짜장밥,72
746,김떡만강정,143
747,배추김치,31
748,메론맛우유,180
749,짜장밥,291
750,김떡만강정,130
751,사과,62
752,메론맛우유,180
753,짜장밥,364
754,김떡만강정,130
755,사과,62
756,메론맛우유,180
757,짜장밥,72
758,김떡만강정,91
759,사과,0
760,메론맛우유,180
761,짜장밥,0
762,김떡만강정,78
763,사과,25
764,메론맛우유,180
765,짜장밥,364
766,달걀파국,227
767,김떡만강정,130
768,배추김치,47
769,사과,0
770,메론맛우유,180
771,짜장밥,291
772,달걀파국,85
773,김떡만강정,130
774,배추김치,23
775,사과,62
776,메론맛우유,180
777,짜장밥,364
778,달걀파국,142
779,김떡만강정,143
780,사과,62
781,메론맛우유,180
782,짜장밥,218
783,달걀파국,256
784,김떡만강정,143
785,사과,62
786,메론맛우유,180
787,짜장밥,145
788,김떡만강정,156
789,사과,31
790,메론맛우유,180
791,짜장밥,255
792,달걀파국,199
793,김떡만강정,143
794,배추김치,23
795,사과,62
796,메론맛우유,180
797,짜장밥,218
798,달걀파국,227
799,김떡만강정,156
800,사과,62
801,메론맛우유,180
802,짜장밥,437
803,김떡만강정,130
804,사과,62
805,메론맛우유,180
806,짜장밥,327
807,달걀파국,256
808,김떡만강정,156
809,배추김치,23
810,사과,50
811,메론맛우유,180
812,짜장밥,218
813,김떡만강정,52
814,사과,31
815,메론맛우유,180
816,짜장밥,364
817,달걀파국,56
818,김떡만강정,130
819,사과,62
820,메론맛우유,180
821,짜장밥,145
822,김떡만강정,130
823,사과,62
824,메론맛우유,180
825,김떡만강정,130
826,사과,0
827,메론맛우유,180
828,짜장밥,218
829,김떡만강정,104
830,배추김치,7
831,사과,6
832,메론맛우유,180
833,짜장밥,145
834,김떡만강정,156
835,사과,62
836,메론맛우유,180
837,짜장밥,364
838,김떡만강정,130
839,배추김치,15
840,사과,37
841,메론맛우유,180
842,짜장밥,72
843,김떡만강정,91
844,사과,62
845,메론맛우유,180
846,짜장밥,145
847,김떡만강정,130
848,사과,62
849,메론맛우유,180
850,짜장밥,364
851,김떡만강정,117
852,사과,62
853,메론맛우유,180
854,짜장밥,364
855,김떡만강정,130
856,사과,62
857,메론맛우유,180
858,짜장밥,327
859,김떡만강정,130
860,사과,62
861,메론맛우유,180
862,짜장밥,364
863,김떡만강정,143
864,사과,12
865,메론맛우유,180
866,짜장밥,145
867,김떡만강정,65
868,사과,37
869,메론맛우유,180
870,짜장밥,182
871,김떡만강정,130
872,사과,62
873,메론맛우유,180
874,짜장밥,364
875,김떡만강정,130
876,배추김치,47
877,사과,62
878,메론맛우유,180
879,짜장밥,182
880,김떡만강정,143
881,사과,62
882,메론맛우유,180
883,짜장밥,364
884,김떡만강정,130
885,배추김치,55
886,사과,50
887,메론맛우유,180
888,짜장밥,291
889,김떡만강정,104
890,사과,62
891,메론맛우유,180
892,짜장밥,327
893,김떡만강정,117
894,배추김치,31
895,사과,62
896,메론맛우유,180
897,짜장밥,364
898,김떡만강정,143
899,배추김치,35
900,사과,62
901,메론맛우유,180
902,짜장밥,291
903,김떡만강정,78
904,배추김치,39
905,사과,37
906,메론맛우유,180
907,짜장밥,364
908,김떡만강정,130
909,사과,62
910,메론맛우유,180
911,짜장밥,327
912,김떡만강정,78
913,배추김치,0
914,사과,62
915,메론맛우유,180
916,짜장밥,291
917,김떡만강정,143
918,배추김치,31
919,사과,62
920,메론맛우유,180
921,짜장밥,218
922,김떡만강정,26
923,배추김치,43
924,사과,62
925,메론맛우유,180
926,짜장밥,364
927,달걀파국,256
928,김떡만강정,143
929,사과,62
930,메론맛우유,180
931,짜장밥,364
932,김떡만강정,130
933,사과,62
934,메론맛우유,180
935,짜장밥,255
936,달걀파국,227
937,김떡만강정,143
938,사과,0
939,메론맛우유,180
940,짜장밥,182
941,달걀파국,28
942,김떡만강정,143
943,배추김치,31
944,사과,62
945,메론맛우유,180
946,짜장밥,364
947,김떡만강정,130
948,배추김치,31
949,사과,62
950,메론맛우유,180
951,짜장밥,364
952,김떡만강정,130
953,배추김치,31
954,사과,0
955,메론맛우유,180
956,짜장밥,364
957,김떡만강정,143
958,배추김치,31
959,사과,31
960,메론맛우유,180
961,짜장밥,364
962,달걀파국,113
963,김떡만강정,117
964,배추김치,39
965,사과,25
966,메론맛우유,180
967,짜장밥,218
968,김떡만강정,104
969,사과,62
970,메론맛우유,180
971,짜장밥,218
972,달걀파국,113
973,김떡만강정,143
974,배추김치,31
975,사과,0
976,메론맛우유,180
977,짜장밥,291
978,달걀파국,56
979,김떡만강정,130
980,사과,62
981,메론맛우유,180
982,짜장밥,364
983,김떡만강정,130
984,사과,0
985,메론맛우유,180
986,짜장밥,364
987,김떡만강정,130
988,사과,62
989,메론맛우유,180
990,짜장밥,364
991,김떡만강정,130
992,사과,62
993,메론맛우유,180
994,짜장밥,400
995,김떡만강정,130
996,사과,6
997,메론맛우유,180
998,짜장밥,36
999,김떡만강정,143
1000,배추김치,0
1001,사과,37
1002,메론맛우유,180
1003,짜장밥,218
1004,김떡만강정,130
1005,사과,0
1006,메론맛우유,180
1007,짜장밥,255
1008,김떡만강정,78
1009,사과,62
1010,메론맛우유,180
1011,짜장밥,364
1012,달걀파국,227
1013,김떡만강정,130
1014,배추김치,39
1015,사과,62
1016,메론맛우유,180
1017,짜장밥,109
1018,달걀파국,170
1019,김떡만강정,130
1020,사과,62
1021,메론맛우유,180
1022,짜장밥,291
1023,김떡만강정,143
1024,사과,62
1025,메론맛우유,180
1026,짜장밥,255
1027,김떡만강정,78
1028,사과,62
1029,메론맛우유,180
1030,짜장밥,364
1031,달걀파국,227
1032,김떡만강정,143
1033,사과,62
1034,메론맛우유,180
1035,보리밥,174
1036,얼갈이된장국,23
1037,돈육메추리알매운조림,67
1038,실곤약무침,71
1039,콘칩팝콘볼,89
1040,보리밥,174
1041,얼갈이된장국,118
1042,돈육메추리알매운조림,135
1043,실곤약무침,88
1044,콘칩팝콘볼,89
1045,보리밥,155
1046,얼갈이된장국,142
1047,돈육메추리알매운조림,135
1048,실곤약무침,88
1049,콘칩팝콘볼,89
1050,보리밥,193
1051,돈육메추리알매운조림,67
1052,실곤약무침,0
1053,콘칩팝콘볼,53
1054,깍두기,28
1055,보리밥,174
1056,돈육메추리알매운조림,67
1057,실곤약무침,62
1058,콘칩팝콘볼,89
1059,깍두기,23
1060,보리밥,193
1061,얼갈이된장국,47
1062,돈육메추리알매운조림,0
1063,실곤약무침,0
1064,콘칩팝콘볼,89
1065,보리밥,193
1066,얼갈이된장국,236
1067,돈육메추리알매운조림,135
1068,실곤약무침,88
1069,콘칩팝콘볼,89
1070,보리밥,174
1071,돈육메추리알매운조림,0
1072,실곤약무침,106
1073,콘칩팝콘볼,89
1074,보리밥,155
1075,얼갈이된장국,94
1076,돈육메추리알매운조림,94
1077,실곤약무침,88
1078,콘칩팝콘볼,89
1079,보리밥,193
1080,얼갈이된장국,47
1081,돈육메추리알매운조림,67
1082,실곤약무침,53
1083,콘칩팝콘볼,89
1084,보리밥,155
1085,얼갈이된장국,142
1086,돈육메추리알매운조림,135
1087,실곤약무침,35
1088,콘칩팝콘볼,89
1089,보리밥,193
1090,돈육메추리알매운조림,67
1091,실곤약무침,17
1092,콘칩팝콘볼,89
1093,보리밥,155
1094,돈육메추리알매운조림,81
1095,실곤약무침,88
1096,콘칩팝콘볼,89
1097,보리밥,0
1098,얼갈이된장국,94
1099,돈육메추리알매운조림,135
1100,실곤약무침,88
1101,콘칩팝콘볼,89
1102,보리밥,174
1103,얼갈이된장국,47
1104,돈육메추리알매운조림,0
1105,실곤약무침,0
1106,콘칩팝콘볼,89
1107,보리밥,135
1108,얼갈이된장국,71
1109,돈육메추리알매운조림,135
1110,실곤약무침,53
1111,콘칩팝콘볼,89
1112,보리밥,193
1113,얼갈이된장국,118
1114,돈육메추리알매운조림,67
1115,실곤약무침,0
1116,콘칩팝콘볼,89
1117,깍두기,28
1118,보리밥,155
1119,얼갈이된장국,47
1120,돈육메추리알매운조림,135
1121,실곤약무침,0
1122,콘칩팝콘볼,89
1123,보리밥,193
1124,얼갈이된장국,47
1125,돈육메추리알매운조림,40
1126,실곤약무침,0
1127,콘칩팝콘볼,80
1128,보리밥,155
1129,얼갈이된장국,71
1130,돈육메추리알매운조림,40
1131,실곤약무침,71
1132,콘칩팝콘볼,89
1133,보리밥,193
1134,얼갈이된장국,94
1135,돈육메추리알매운조림,108
1136,콘칩팝콘볼,71
1137,보리밥,96
1138,얼갈이된장국,0
1139,돈육메추리알매운조림,54
1140,실곤약무침,62
1141,콘칩팝콘볼,89
1142,보리밥,193
1143,얼갈이된장국,0
1144,돈육메추리알매운조림,135
1145,콘칩팝콘볼,89
1146,보리밥,193
1147,얼갈이된장국,47
1148,돈육메추리알매운조림,135
1149,실곤약무침,44
1150,콘칩팝콘볼,89
1151,보리밥,193
1152,얼갈이된장국,165
1153,돈육메추리알매운조림,135
1154,실곤약무침,44
1155,콘칩팝콘볼,89
1156,보리밥,193
1157,얼갈이된장국,47
1158,돈육메추리알매운조림,81
1159,실곤약무침,53
1160,콘칩팝콘볼,89
1161,깍두기,23
1162,보리밥,193
1163,얼갈이된장국,94
1164,돈육메추리알매운조림,40
1165,실곤약무침,80
1166,콘칩팝콘볼,53
1167,보리밥,193
1168,얼갈이된장국,165
1169,돈육메추리알매운조림,94
1170,실곤약무침,88
1171,콘칩팝콘볼,89
1172,깍두기,23
1173,보리밥,135
1174,얼갈이된장국,118
1175,돈육메추리알매운조림,135
1176,실곤약무침,0
1177,콘칩팝콘볼,89
1178,보리밥,135
1179,얼갈이된장국,71
1180,돈육메추리알매운조림,121
1181,실곤약무침,71
1182,콘칩팝콘볼,89
1183,보리밥,96
1184,돈육메추리알매운조림,40
1185,실곤약무침,88
1186,콘칩팝콘볼,89
1187,보리밥,116
1188,돈육메추리알매운조림,81
1189,실곤약무침,35
1190,콘칩팝콘볼,89
1191,보리밥,116
1192,돈육메추리알매운조림,67
1193,실곤약무침,88
1194,콘칩팝콘볼,89
1195,보리밥,193
1196,얼갈이된장국,47
1197,돈육메추리알매운조림,135
1198,실곤약무침,44
1199,콘칩팝콘볼,89
1200,보리밥,193
1201,돈육메추리알매운조림,108
1202,실곤약무침,0
1203,콘칩팝콘볼,89
1204,깍두기,28
1205,보리밥,135
1206,얼갈이된장국,118
1207,돈육메추리알매운조림,81
1208,실곤약무침,71
1209,콘칩팝콘볼,89
1210,보리밥,174
1211,얼갈이된장국,118
1212,돈육메추리알매운조림,135
1213,실곤약무침,44
1214,콘칩팝콘볼,89
1215,보리밥,193
1216,얼갈이된장국,236
1217,돈육메추리알매운조림,135
1218,실곤약무침,88
1219,콘칩팝콘볼,89
1220,깍두기,47
1221,보리밥,135
1222,얼갈이된장국,47
1223,돈육메추리알매운조림,81
1224,실곤약무침,88
1225,콘칩팝콘볼,89
1226,보리밥,116
1227,얼갈이된장국,94
1228,돈육메추리알매운조림,135
1229,실곤약무침,53
1230,콘칩팝콘볼,89
1231,깍두기,4
1232,보리밥,193
1233,얼갈이된장국,165
1234,돈육메추리알매운조림,135
1235,실곤약무침,88
1236,콘칩팝콘볼,89
1237,깍두기,47
1238,보리밥,174
1239,얼갈이된장국,189
1240,돈육메추리알매운조림,135
1241,콘칩팝콘볼,89
1242,보리밥,155
1243,얼갈이된장국,94
1244,돈육메추리알매운조림,135
1245,실곤약무침,88
1246,콘칩팝콘볼,89
1247,깍두기,18
1248,보리밥,193
1249,얼갈이된장국,189
1250,돈육메추리알매운조림,67
1251,실곤약무침,0
1252,콘칩팝콘볼,89
1253,보리밥,193
1254,얼갈이된장국,118
1255,돈육메추리알매운조림,67
1256,실곤약무침,62
1257,콘칩팝콘볼,89
1258,보리밥,193
1259,얼갈이된장국,0
1260,돈육메추리알매운조림,27
1261,실곤약무침,17
1262,콘칩팝콘볼,89
1263,보리밥,155
1264,얼갈이된장국,47
1265,돈육메추리알매운조림,108
1266,실곤약무침,88
1267,콘칩팝콘볼,89
1268,깍두기,37
1269,보리밥,193
1270,얼갈이된장국,0
1271,돈육메추리알매운조림,0
1272,실곤약무침,0
1273,콘칩팝콘볼,89
1274,깍두기,37
1275,보리밥,193
1276,얼갈이된장국,47
1277,돈육메추리알매운조림,0
1278,실곤약무침,0
1279,콘칩팝콘볼,89
1280,깍두기,47
1281,보리밥,58
1282,얼갈이된장국,142
1283,돈육메추리알매운조림,67
1284,실곤약무침,62
1285,콘칩팝콘볼,89
1286,보리밥,174
1287,얼갈이된장국,118
1288,돈육메추리알매운조림,135
1289,실곤약무침,0
1290,콘칩팝콘볼,89
1291,깍두기,28
1292,보리밥,193
1293,얼갈이된장국,94
1294,돈육메추리알매운조림,40
1295,실곤약무침,88
1296,콘칩팝콘볼,89
1297,깍두기,9
1298,얼갈이된장국,94
