FOOD_NM,INGREDIENTS,TYPE,Quantity
망고샐러드,버터,후식,4569.0
라임,음료/자두맛,후식,
페이스트리치킨버거,드레싱(화이트드레싱),반찬,
꽁치김치조림,파(대파),반찬,
양송이버섯크림스프,멸균유,국,
밥,돌김자반,밥,
웨지감자구이,설탕(백설탕),반찬,
야채볶음밥,참기름,밥,
만두튀김,콩기름(대두유),반찬,
요그릭,발효유(호상요구르트)/블루베리맛,후식,
애플파이,파이(사과파이)/생지,후식,
단호박두부카레라이스,하이스가루,밥,
소시지오므라이스,당근/친환경,밥,
케이크,케이크(미니케이크),후식,1440.0
파인애플,파인애플/비가식부위제거,후식,53189.0
숭늉,멥쌀(백미),국,
오이고추된장무침,된장(메주된장),반찬,
순살감자탕,건고추,국,
닭목살조림,무쌈,반찬,
육원전,"동그랑땡/친환경, 불갈비맛",반찬,
삼치엿장조림,콩기름(대두유),반찬,
사과만주,만주(왕만주),후식,
포크커틀렛,양송이버섯/친환경,반찬,
연근조림,간장(양조간장),반찬,12101.0
옥수수밥,멥쌀(백미)/친환경,밥,50568.0
상추겉절이,파(대파),반찬,
아이스호떡,아이스크림,후식,
한반도돈까스,돈가스소스,반찬,
가지나물,참기름,반찬,
청포묵무침,깨(참깨)/볶은것,반찬,
소고기된장찌개,다시마/말린것(건조),국,
닭감자조림,간장(양조간장),반찬,
탕수육,콩기름(대두유),반찬,
소고기우거지국,콩나물/친환경,국,
감,감(연시),후식,
오이파프리카스틱쌈,참기름,반찬,
통곡물멸치볶음,"멸치(작은멸치, 가이리)",반찬,
유기농우유,우유,후식,
대구살무국,무(조선무)/친환경,국,
스팸김치볶음밥,토마토케첩,밥,
청경채겉절이,간장(양조간장),반찬,
뜨끈한유부우동,한우(설도)/불고기용,밥,
잠발라야닭다리오븐구이,"닭고기(다리, 북채)",반찬,
칠리탕수육,돼지고기(등심),반찬,
바질크림떡볶이,떡볶이떡/국산,반찬,
밤고구마라떼,꿀,후식,
달걀프라이,콩기름(대두유),반찬,
통살오징어꼬치,튀김(오징어링)/국산,반찬,
꽃게된장국,양파,국,
무생채비빔밥,고추장,밥,
쪽파김치,간장,김치,
찹쌀주악,찹쌀약과,후식,
견과류멸치볶음,콩기름(대두유),반찬,
단감,감(단감),후식,57944.0
돼지등뼈감자탕,고춧가루/국산,국,
피망잡채,깨(참깨)/볶은것,반찬,
단호박돼지갈비찜,간장(양조간장)/국산,반찬,
애느타리버섯볶음,콩기름(대두유),반찬,
마라탕,소스/매운맛,국,
꿔바로우,사과,반찬,
오렌지푸딩,푸딩(오렌지푸딩),후식,
녹차밥,찹쌀(녹미)/친환경,밥,
고구마돼지갈비찜,배,반찬,
궁채들깨나물,"깨(들깨)/볶은것, 간것(가루, 분말)",반찬,
삼치매실유자청구이,데리야끼소스,반찬,
야채달걀말이,달걀(전란),반찬,
돼지불고기,양파/친환경,반찬,
콩나물맑은국,다시마/말린것(건조),국,
쵸코설기,시루떡(초코설기),후식,
훈제오리야채볶음,간장(양조간장)/국산,반찬,
미소된장국,유부,국,
로제찜닭,고추장,반찬,
실곤약채소무침,"마늘/껍질제거(깐것), 꼭지제거",반찬,
떡갈비김치킨덮밥버거,멥쌀(백미),밥,
아이스황도,탄산음료(사이다),후식,
양념닭꼬치튀김,무쌈/절단된것,반찬,
토마토스파게티,돼지고기햄(등심),밥,
마늘바게트,크림(휘핑크림),후식,
쌀밥,멥쌀(백미)/친환경,밥,
꼬치어묵우동,당근/친환경,밥,
두부스틱샐러드,마요네즈(전란),반찬,
도라지오징어포무침,깨(참깨)/볶은것,반찬,
떠먹는요거트,발효유(호상요구르트)/딸기맛,후식,
김치덮밥,참기름,밥,
파인애플불고기피자,치즈(모짜렐라치즈),반찬,
레드키위,키위(레드키위)/일반,후식,
유부우동국,간장(재래간장)/친환경,국,
초코도넛,도넛(카카오구운도넛),후식,
견과류볶음,참기름,반찬,
등뼈짬뽕국,청경채,국,
족발덮밥,고춧가루/김치제조용,밥,
해쉬브라운피자,피자도우,반찬,
샤인머스캣포도,포도(골덴마스컷),후식,
열무된장무침,된장,반찬,
연근치커리샐러드,치커리,후식,
감귤,감귤(조생),후식,
돼지갈비탕,달걀(전란),국,
가자미구이,콩기름(대두유),반찬,
큐브치즈샐러드,올리브유,후식,
들깨수제비국,호박(애호박)/친환경,국,
연어구이,식초(사과식초),반찬,
김치녹두빈대떡,당근,반찬,
부추무침,부추,반찬,
시나몬롤파이,파이,후식,
오리고기마늘볶음,오리고기/슬라이스,반찬,
고등어무조림,마늘,반찬,
볼어묵볶음,콩기름(대두유),반찬,
와플,시럽(초코시럽),후식,
생깻잎장아찌,참기름,반찬,
톳배무침,된장(전통된장)/전통식품인증,반찬,
어묵우동국,튀김(어묵튀김),국,
돼지고기콩나물볶음,콩나물,반찬,
씨앗찰호떡,콩기름(대두유),후식,
브로콜리초고추장,식초(사과식초),반찬,
새우탕,고추장/전통식품인증,국,
육전,고추(붉은고추(홍고추)),반찬,
치스스틱,치즈(카테지치즈),후식,
양파채절이,깨(참깨),반찬,
소불고기우동,쑥갓,반찬,
짬뽕만두찜,만두(김치왕만두),반찬,
찰밥,보리(쌀보리),밥,
블루레몬에이드,에이드(핑크레몬에이드),후식,
망고그린샐러드,양상추/친환경,후식,
갈릭브레드,마늘빵/반조리,후식,
돼지고기두루치기,물엿,반찬,
콩조림,깨(참깨)/볶은것,반찬,
팔미에파이,파이(사과파이),후식,
홍시,감(연시),후식,
순살프라이드치킨,사과,반찬,
도토리묵야채무침,물엿,반찬,
통닭튀김,프라이드치킨,반찬,
갈치소금구이,소금(꽃소금),반찬,
도시락비빔밥,멥쌀(백미),밥,
북어콩나물국,디포리,국,
도라지나물,당근/국산,반찬,
오이,설탕(백설탕),후식,
임연수살카레구이,콩기름(대두유),반찬,
돼지고기몸국,후추,국,
생선커틀렛,마요네즈(유정란),반찬,32942.0
고등어구이,콩기름(대두유),반찬,
비빔냉면,고추장(냉면장),밥,
무화과리코타치즈샐러드,깨(참깨),반찬,
오징어김치전,밀가루(중력분)/국산,반찬,
족발,맛술,반찬,
팽이유부된장국,팽이버섯/친환경,국,
무말랭이무침,설탕(백설탕),반찬,
소고기콩나물밥,깨(참깨)/볶은것,밥,
소불고기주먹밥,김밥(쇠고기김밥),밥,
멸치국수,소금(구운소금),밥,
오이피클,피클(모둠채소피클),반찬,5927.0
육쪽마늘빵,마늘빵스틱,후식,
치커리유자청무침,올리브유,반찬,
크림소스스파게티,소금(꽃소금),밥,
시금치나물,마늘,반찬,
곤드레밥,곤달비,밥,10343.0
베이컨프렌치토스트,버터,밥,
매실차,차(매실차),후식,
공룡치킨까스,콩기름(대두유),반찬,
상추,참기름,반찬,
소고기버섯불고기,배/일반,반찬,
도라지오이생채,고추장/전통식품인증,반찬,536.0
애호박빵가루전,호박(애호박)/친환경,반찬,
오리불고기,당근/친환경,반찬,
미역줄기볶음,미역줄기,반찬,19813.0
사과바나나단감샐러드,설탕(백설탕),후식,
소다아이스크림,아이스크림(하드),후식,
베이컨말이주먹밥,돼지고기(삼겹살),밥,
고등어김치조림,고춧가루,반찬,47171.0
방울토마토보코치니샐러드,치즈(구슬모양치즈),후식,
고소한콘치킨,토마토케첩,반찬,
돈코츠라멘,라면/냉동,밥,
감자조림,깨(참깨)/볶은것,반찬,
닭고기투움바파스타,스파게티소스(크림소스),밥,
불고기양상추샐러드,식초(사과식초),후식,
샤인머스캣푸딩,푸딩(오렌지푸딩),후식,
돈까스김치덮밥,꿀(아카시아꿀),밥,
피자치즈볼,도넛(케이크도넛),후식,
베이컨새송이버섯볶음,참기름,반찬,
치커리흑임자샐러드,당근,후식,
목살스테이크,"마늘/껍질제거(깐것), 꼭지제거",반찬,
사골순대국,파(대파),국,
쑥갓나물,소금(꽃소금),반찬,
돼지고기고구마강정,마늘,반찬,
