FOOD_NM,INGREDIENTS,TYPE
산양유블루베리요구르트,발효산양유(드링크요구르트),후식
조각서리태밥,멥쌀(백미),밥
골뱅이채소무침(쌀국수),"사과(부사, 후지)",국
치즈계란말이,당근/껍질제거(깐것),반찬
콩나물비빔밥/실파간장,멥쌀(백미),밥
감자계란국(초),"마늘/껍질제거(깐것), 꼭지제거",국
꿀닭강정(탄5),"마늘/껍질제거(깐것), 꼭지제거",반찬
오이김치(초),김치(오이김치),김치
스승의날케이크,케이크(쌀케이크),후식
닭곰탕/당면,"마늘/껍질제거(깐것), 꼭지제거",반찬
마파두부(초),"마늘/껍질제거(깐것), 꼭지제거",반찬
도라지쌀가루튀김(오),"도라지/껍질제거(깐것), 채썬것(세절)",반찬
순두부버섯탕,"마늘/껍질제거(깐것), 꼭지제거",반찬
안심돈까스,돼지고기(안심)/돈가스용,반찬
미소된장국(탄5),"마늘/껍질제거(깐것), 꼭지제거",국
쇠고기곤약장조림(오),"마늘/껍질제거(깐것), 꼭지제거",반찬
오므라이스소스(초),당근/세척한것,반찬
도라지오이유자청무침(탄5),"도라지/국산, 껍질제거(깐것)",반찬
청포도(초),포도(청포도(시들러스))/일반,후식
두부호박찌개,마늘,반찬
매콤수비드연어,콩기름(대두유),반찬
사과푸딩,푸딩(사과푸딩),후식
부추잡채(오),"마늘/껍질제거(깐것), 꼭지제거",반찬
후리카케톳주먹밥,기장,밥
수제비만두국,당근/껍질제거(깐것),국
닭봉데리야끼소스구이,마늘/껍질제거(깐것),반찬
양배추찜/두부쌈장,"마늘/껍질제거(깐것), 꼭지제거",반찬
파인찹쌀꿔바로우,망고/조각낸것,반찬
차수수밥(초),멥쌀(백미),밥
소고기얼갈이배추국,마늘,국
감자베이컨구이(오),"감자/구운것, 껍질제거(깐것)",반찬
인델리카레라이스(오),멥쌀(백미),밥
꽈배기핫도그,핫도그,후식
수박(초),수박,후식
시금치토장국(초),"마늘/껍질제거(깐것), 꼭지제거",국
오리불고기(초),당근/세척한것,반찬
알감자버터구이(오),감자(알감자),반찬
산채비빔밥/두부고추장(탄5),멥쌀(백미),밥
수박(탄5),수박,후식
전복미역국(초),"마늘/껍질제거(깐것), 꼭지제거",국
숙주크래미무침(오),"마늘/껍질제거(깐것), 꼭지제거",반찬
생일축하쿠키,쿠키,후식
닭안심크런치치킨텐더,유채씨유(카놀라유),반찬
파인소스,깨(검정깨(흑임자))/볶은것,반찬
수리취절편,떡(수리취떡),반찬
열무김치(초),김치(열무김치),김치
병아리콩밥(초),멥쌀(백미),밥
아욱국(탄6),"마늘/껍질제거(깐것), 꼭지제거",국
매운돼지갈비찜(오),사과,반찬
자장떡볶이(오),당근,반찬
스팸김치볶음밥(오),기능성멥쌀(칼슘철분강화),밥
요꼬노미야끼(오),숙주나물/국산,반찬
찰보리밥(탄6),멥쌀(백미),밥
홍게살연두부국(탄6),마늘/껍질제거(깐것),국
토마토소스파스타샐러드(탄6),토마토(완숙토마토),반찬
임연수순살카레구이(탄6),마늘/껍질제거(깐것),반찬
당귀수육(오),마늘/껍질제거(깐것),반찬
두부쌈장,"마늘/껍질제거(깐것), 꼭지제거",반찬
참나물겉절이(초),"마늘/껍질제거(깐것), 꼭지제거",반찬
채소스틱(오이&파프리카),파프리카(적색파프리카),반찬
우리밀아이스슈,아이스슈/딸기맛,후식
미역줄기게살볶음(초),"마늘/껍질제거(깐것), 꼭지제거",반찬
돈육김치찌개(목심),마늘/껍질제거(깐것),국
코다리강정/데리야끼,"땅콩/볶은것, 껍질제거(깐것), 조각낸것",반찬
소불고기덮밥(오),멥쌀(백미),밥
그린샐러드&블루베리소스,레몬,후식
딸기아이스크림,아이스크림/딸기맛,후식
수제브라우니(오),쿠키(초코칩쿠키),후식
오징어브로콜리숙회,레몬,반찬
시금치프리타타(초),토마토(대추방울토마토),반찬
유니자장면(오),당근,밥
열무된장무침(탄6),마늘,반찬
쌀눈현미밥(칼슘),기능성멥쌀(쌀눈),밥
황태두부국(오),"마늘/껍질제거(깐것), 꼭지제거",국
애호박베이컨볶음(오),"마늘/껍질제거(깐것), 꼭지제거",반찬
아귀강정(오),양파/껍질제거(깐것),반찬
통살새우까스(오),패티(새우패티),반찬
콘소스(오),사과,반찬
쌀눈쌀보리밥,기능성멥쌀(가바),밥
메이플피칸파이,달걀(난황),후식
부대찌개(초),"마늘/껍질제거(깐것), 꼭지제거",국
가지호박무침(초),"마늘/껍질제거(깐것), 꼭지제거",반찬
블랙오리불고기(오),당근/껍질제거(깐것),반찬
푸딩(요거트),푸딩(요거트푸딩),후식
닭다리살훈제&머스터드,허니머스터드소스/소포장,반찬
꿀토마토(초),토마토,후식
자두(초),자두,후식
귀리밥(초),귀리(쌀귀리)/일반,밥
쇠고기떡국,당근/껍질제거(깐것),국
피자맛너비아니구이(수제)돈/우,배,반찬
말랑피치,젤리음료/복숭아맛,후식
청차조밥(초),멥쌀(백미),밥
노각무침(초),"마늘/껍질제거(깐것), 꼭지제거",반찬
현미찹쌀기장밥(국제),기장,밥
수제초코파이,파이(초코파이),후식
쥐눈이콩밥(국제),멥쌀(백미)/GAP,밥
된장찌개(표준),"마늘/껍질제거(깐것), 꼭지제거",국
봄나물겉절이(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬
불닭갈비(국제),"파인애플/껍질제거(깐것), 조각낸것",반찬
꽈리초멸치볶음,"마늘/껍질제거(깐것), 꼭지제거",반찬
베이컨계란말이(국제),당근,반찬
쿠키생크림단팥빵,단팥빵,후식
파인애플바(고),"파인애플/껍질제거(깐것), 조각낸것",후식
갈만탕(국제),"마늘/껍질제거(깐것), 꼭지제거",국
부추겉절이(국제),당근,반찬
깍두기(국제),김치(깍두기),김치
쌀밥(국제),멥쌀(백미)/GAP,밥
삼계탕(국제),밤/껍질제거(깐것),국
모둠채소감자조림(국제),당근,반찬
건새우견과볶음(국제),아몬드/슬라이스,반찬
망고주스,주스(망고주스),후식
마카롱(프리미엄),마카롱(라즈베리마카롱),후식
어묵매운탕(국제),"마늘/껍질제거(깐것), 꼭지제거",국
모듬야채샐러드(발사믹),양파/껍질제거(깐것),반찬
꿀간장닭봉조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
스파게티/토마토,토마토,밥
알타리무김치(국제),김치(총각김치),김치 
수제마늘빵,마늘빵/생지,후식
골드키위(국제),키위(골드참다래),후식
열무비빔밥(국제),멥쌀(백미)/GAP,밥
근대재첩국(국제),"마늘/껍질제거(깐것), 꼭지제거",국
모듬과일(수박),"멜론(머스크멜론)/껍질제거(깐것), 슬라이스",후식
패스츄리새우피자,"마늘/껍질제거(깐것), 꼭지제거",반찬
비타민주스,주스(다채(그린비타민)주스),후식
강황쌀완두콩밥(국제),멥쌀(백미)/GAP,밥
닭개장(국제),"마늘/껍질제거(깐것), 꼭지제거",국
모듬야채샐러드(유자),토마토(대추방울토마토),후식
달고기카레구이,고추(붉은고추(홍고추)),반찬
배추김치(국제),김치(배추김치),김치
완숙토마토(고),토마토(대추방울토마토),후식
영양밥(국제),밤/껍질제거(깐것),밥
쇠고기미역국(국제),"멸치(큰멸치, 대멸)",국
삼색나물(콩/방풍/가지),"마늘/껍질제거(깐것), 꼭지제거",반찬
치즈불닭(국제),"사과(부사, 후지)",반찬
우리쌀케이크,조각케이크(레드벨벳조각케이크),후식
