FOOD_NM,INGREDIENTS,TYPE,Quantity
사과치커리무침,유자청,반찬,16397.790179667103
도넛,도넛,후식,27295.441232129302
매실주스,얼음,후식,27295.441232129302
취나물볶음,취나물,반찬,16397.790179667103
닭꼬치구이,양념치킨소스,반찬,16397.790179667103
어묵볶음,파(대파)/껍질제거(깐것),반찬,18965.411113111997
마파두부,전분(감자전분)/국산,반찬,17479.752419832406
배추된장국,된장(전통된장)/전통식품인증,국,31332.604193201543
숙주미나리무침,숙주나물/친환경,반찬,33165.73187218026
현미찹쌀밥,멥쌀(백미)/친환경,밥,86871.10993897004
슈팅스타뚱카롱,마카롱(피스타치오마카롱),후식,27295.441232129302
소라살채소무침,소라살,반찬,16397.790179667103
율무밥,찹쌀(백미)/친환경,밥,359403.67724052735
매운돼지갈비찜,당근/국산,반찬,26638.328257426758
두부양념구이,"마늘/껍질제거(깐것), 꼭지제거",반찬,15226.237885697512
데리야끼소스,매실농축액,반찬,16397.790179667103
감자빵,옥수수빵,후식,27295.441232129302
사골만두국,"마늘/껍질제거(깐것), 꼭지제거",국,34313.284938573386
도토리묵김치무침,간장(양조간장),반찬,16945.85117008273
가자미살튀김,레몬,반찬,16866.58304678555
햄김치볶음밥,햄(쵸핑햄)/친환경,밥,34314.706072302404
샤인머스캣,포도(골덴마스컷),후식,11171.084605102675
연두부달걀찜,당근/껍질제거(깐것),반찬,24922.286964152172
맑은된장국,두부/찌개용,국,37605.33980222265
병아리콩밥,멥쌀(백미),밥,133715.50784673748
피자맛너비아니구이돈,버터,반찬,16397.790179667103
고사리토장국,한우(사태)/국용,국,37599.81763583613
타코야끼,타코야끼소스,후식,27295.441232129302
황태미역국,들기름,국,37599.81763583613
매운수제비국,당근,국,45130.09327053666
귀리밥,귀리/친환경,밥,104434.4209764637
크랜베리씨앗멸치볶음,간장(양조간장)/국산,반찬,16556.958551636944
브로콜리꽃맛살샐러드,발효유(호상요구르트)/플레인,후식,43565.81118371478
김치콩나물국,콩나물/국산,국,31349.3469171711
삼치레몬마요네즈구이,마요네즈(전란),반찬,14762.044654661775
고기떡말이조림,참기름,반찬,17199.191292378287
치킨마요네즈덮밥,양파/껍질제거(깐것),밥,61994.624613091
우엉잡채,청주,반찬,16397.790179667103
소시지떡꼬치,떡꼬치떡,후식,27295.441232129302
쥬시쿨,혼합과일음료,후식,27295.441232129302
잔치국수,달걀지단,밥,79709.69166727668
주먹밥,당근/친환경,밥,49965.3286960679
쫄면야채무침,고추장,반찬,22665.312893535363
마늘빵,마늘빵,후식,27295.441232129302
크림스프,분말(크림수프분말),반찬,16397.790179667103
찰옥수수밥,멥쌀(백미),밥,133715.50784673748
모듬어묵국,간장(재래간장),국,48921.23898877593
대패돼지고기고추장볶음,당근,반찬,24604.037077778852
