FOOD_NM,INGREDIENT,TYPE
감자크로켓,토마토케첩,후식
찰현미밥,멥쌀(백미)/친환경,밥
골뱅이소면무침,당근,반찬
오징어볼튀김,양파/국산,반찬
샐러드김밥,멥쌀(백미)/친환경,반찬
모듬떡볶이,당근,반찬
쥬스,과즙음료(파인애플),후식
족발냉채,마늘/국산,반찬
토핑다크초코,발효유(호상요구르트)/무가당,후식
계란후라이,달걀,반찬
치즈스틱,콩기름(대두유),후식
콩나물해물찜,마늘/국산,반찬
맛김,김(맛김)/친환경,반찬
오리훈제부추볶음,당근,반찬
초코롤데니쉬,페이스트리(페이스트리),후식
느타리쑥갓무침,마늘/국산,반찬
조각피자,피자(콤비네이션피자),후식
닭윙튀김,마늘/국산,반찬
메추리알꽈리고추조림,마늘/국산,반찬
숙주베이컨볶음,마늘/국산,반찬
도너츠,도넛(링도넛),후식
닭다리감자조림,마늘/국산,반찬
소고기당면볶음,마늘,반찬
새송이버섯전,당근,반찬
야채계란말이,당근,반찬
깐소새우,마늘/국산,반찬
카레여왕,멥쌀(백미)/친환경,국
포테이토스킨,양파/국산,후식
복숭아,복숭아황도통조림,후식
스팸마요덮밥,멥쌀(백미)/친환경,밥
건새우미역국,마늘/국산,국
감자튀김,콩기름(대두유),후식
쥬스,주스(골든사과주스),후식
등갈비구이,마늘/국산,반찬
나시고랭볶음밥,멥쌀(백미)/친환경,밥
감자튀김,콩기름(대두유),후식
크루통샐러드,양상추/일반,후식
배추나물,당근,반찬
대패삼겹살콩나물볶음,마늘/국산,반찬
도너츠,도넛/생지,후식
오이상추겉절이,마늘/국산,김치
장미꽃만두,군만두(채소군만두),후식
감자짜글이,마늘/국산,국
치킨크레페,양배추,후식
팽이버섯전,당근/국산,반찬
막국수,마늘,반찬
한우갈비구이,배,반찬
쥬스,주스(오렌지주스)/무가당,후식
새우살애호박볶음,마늘/국산,반찬
소세지콩나물찜,마늘/국산,반찬
김치어묵국,마늘/국산,국
언양식불고기/상추쌈,상추,반찬
쁘띠첼,짜먹는젤리음료(포도),후식
돈등뼈감자탕,마늘/국산,국
쇠고기불고기,당근,반찬
두부맑은국,마늘/국산,국
오징어채오이무침,마늘/국산,반찬
동그란햄전,파(쪽파),반찬
